"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
28994, 2.454469000000000e-02, 3.351486000000000e-02, 9.877677907726862e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.769155180652170e+00, 1.000000000000000e-10, 8.545522178269700e+04, 3.618141072472059e-01, 9.465328431944610e+02
29260, 1.862469000000000e-02, 2.941291000000000e-02, 9.889893658900976e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.771448045136272e+00, 1.000000000000000e-10, 8.534307439473851e+04, 3.594260724774742e-01, 9.507729643247582e+02
29526, 1.355548000000000e-02, 2.539749000000000e-02, 9.905379394837539e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.774303597548515e+00, 1.000000000000000e-10, 8.523063663947651e+04, 3.577011562311035e-01, 9.565399893635800e+02
29792, 9.291410000000000e-03, 2.145566000000000e-02, 9.925108518385674e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.777938441981136e+00, 1.000000000000000e-10, 8.508490947919621e+04, 3.577629610625513e-01, 9.624597155778106e+02
30058, 5.807340000000000e-03, 1.757725000000000e-02, 9.950462925574505e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.782671421091767e+00, 1.000000000000000e-10, 8.488231943511707e+04, 3.603394524589148e-01, 9.678395325803840e+02
30324, 3.098700000000000e-03, 1.376055000000000e-02, 9.982443134354211e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788754555567190e+00, 1.000000000000000e-10, 8.459001715576960e+04, 3.664286630978226e-01, 9.705429266165555e+02
30590, 1.177950000000000e-03, 1.002447000000000e-02, 1.002211688929341e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.796394373315882e+00, 1.000000000000000e-10, 8.425066212784205e+04, 3.807312276790243e-01, 9.679646138911420e+02
30856, 5.585000000000000e-05, 6.424820000000000e-03, 1.006717490573898e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.805023213710700e+00, 1.000000000000000e-10, 8.391108681160861e+04, 4.234113092090875e-01, 9.564292641308664e+02
31122, -3.002400000000000e-04, 3.057280000000000e-03, 1.009725202987278e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.810840371859732e+00, 1.000000000000000e-10, 8.369351468365319e+04, 5.742084744207977e-01, 9.601702526978900e+02
31388, 6.450000000000000e-05, -3.064200000000000e-04, 1.011455616747684e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.814086124461114e+00, 1.000000000000000e-10, 8.354466318313566e+04, 5.510288072830573e-01, 9.573359752177446e+02
31654, 1.316550000000000e-03, -3.858450000000000e-03, 1.011038405928328e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.813476797726745e+00, 1.000000000000000e-10, 8.357628424300850e+04, 4.073847501336126e-01, 9.460441550762000e+02
31920, 3.617300000000000e-03, -7.377450000000000e-03, 1.008190412294402e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.808064305556497e+00, 1.000000000000000e-10, 8.378622788784475e+04, 3.657262174552497e-01, 9.613703661384883e+02
32186, 6.966190000000000e-03, -1.066717000000000e-02, 1.004683740739426e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.801276076104059e+00, 1.000000000000000e-10, 8.408873071087734e+04, 3.501097366983518e-01, 9.617009910386989e+02
32452, 1.128025000000000e-02, -1.364480000000000e-02, 1.001637668197559e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.795513926092718e+00, 1.000000000000000e-10, 8.444449600323987e+04, 3.443982346922492e-01, 9.521392215211090e+02
32718, 1.649219000000000e-02, -1.630728000000000e-02, 9.993125886789349e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.791230044418242e+00, 1.000000000000000e-10, 8.465949315760937e+04, 3.454522735197874e-01, 9.431548532460172e+02
32984, 2.257869000000000e-02, -1.867896000000000e-02, 9.976195449966121e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788219102472393e+00, 1.000000000000000e-10, 8.474522545669418e+04, 3.514032078822587e-01, 9.337121715183705e+02
33250, 2.955753000000000e-02, -2.078633000000000e-02, 9.964831687348673e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.786340002273130e+00, 1.000000000000000e-10, 8.481502871632848e+04, 3.578766779234137e-01, 9.275739434559548e+02
33516, 3.747764000000000e-02, -2.264912000000000e-02, 9.957298736753621e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.785315993804791e+00, 1.000000000000000e-10, 8.485572262980524e+04, 3.628523456235849e-01, 9.188679699894429e+02
33782, 4.641026000000000e-02, -2.427854000000000e-02, 9.951161199082639e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.784712545337696e+00, 1.000000000000000e-10, 8.492600864471050e+04, 3.666091991119778e-01, 9.096662168806947e+02
34048, 5.644600000000000e-02, -2.567841000000000e-02, 9.946067359010375e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.784357923388222e+00, 1.000000000000000e-10, 8.497629886535305e+04, 3.697613395360759e-01, 9.023725653915457e+02
