x,y,cp,yplus,cf,source,surface
0.15407392,-0.03549642,0.20292099,1.2028373,0.0055000037,SU2,lower
0.1764987,0.07387925,-1.1433287,1.1584855,0.005155917,SU2,upper
0.1847644,-0.03850554,0.14739968,1.2174777,0.005638188,SU2,lower
0.21077438,0.0753313,-1.0042971,1.0427492,0.0041790586,SU2,upper
0.2185229,-0.0411313,0.09779106,1.21365,0.005610481,SU2,lower
0.2451385,0.07592605,-0.8993563,0.9660112,0.0035825858,SU2,upper
0.25239342,-0.04300134,0.063960746,1.195164,0.0054512452,SU2,lower
0.27950782,0.07582632,-0.8150804,0.92236173,0.003262247,SU2,upper
0.28629354,-0.04422758,0.042272095,1.171237,0.005241207,SU2,lower
0.3138705,0.07513636,-0.74323887,0.90359193,0.0031298671,SU2,upper
0.3202092,-0.04490274,0.026857857,1.1462249,0.0050238874,SU2,lower
0.34821928,0.07393788,-0.67959404,0.90138847,0.0031096411,SU2,upper
0.35413113,-0.04510045,0.016374625,1.1234454,0.0048264978,SU2,lower
0.38254985,0.07229678,-0.62199616,0.90662223,0.003143093,SU2,upper
0.38805294,-0.04488065,0.009348502,1.1059246,0.004671437,SU2,lower
0.41685966,0.07026724,-0.5690329,0.91431236,0.0031937326,SU2,upper
0.42197043,-0.044293,0.0050167004,1.092856,0.0045590936,SU2,lower
0.4511475,0.0678944,-0.51984215,0.9219697,0.0032449076,SU2,upper
0.4558807,-0.04337907,0.0027288522,1.0838853,0.0044814036,SU2,lower
0.48541284,0.06521613,-0.47376814,0.92886275,0.003288823,SU2,upper
0.48978192,-0.04217389,0.002024833,1.0772038,0.0044270796,SU2,lower
0.5196557,0.06226427,-0.43028444,0.9342348,0.0033259345,SU2,upper
0.5236728,-0.04070698,0.0026355414,1.0722779,0.004387603,SU2,lower
0.55387646,0.05906555,-0.3889913,0.9389641,0.003356354,SU2,upper
0.55755264,-0.03900316,0.0042497525,1.0688707,0.00435711,SU2,lower
0.58807546,0.05564221,-0.34943536,0.942627,0.0033802034,SU2,upper
0.59142095,-0.03708311,0.006833957,1.0660312,0.0043318826,SU2,lower
0.6222532,0.05201252,-0.31131345,0.9449694,0.0033960508,SU2,upper
0.62527734,-0.03496382,0.010107039,1.0636356,0.0043108175,SU2,lower
0.65641,0.04819117,-0.27409902,0.9466442,0.0034073598,SU2,upper
0.65912163,-0.03265889,0.014302586,1.0614017,0.0042916746,SU2,lower
0.69054615,0.04418952,-0.23756616,0.9465108,0.0034072474,SU2,upper
0.6929535,-0.03017885,0.019096734,1.059017,0.0042720046,SU2,lower
0.7246617,0.04001587,-0.20086664,0.9460927,0.0034027866,SU2,upper
0.7267727,-0.02753132,0.025093783,1.0566571,0.0042532915,SU2,lower
